DATE,CUSTOMER,ACCOUNT,AMOUNT,ACTION
2013-07-06,1,1,500,paid
2013-07-06,1,1,505,paid
2013-07-06,1,1,510,paid
2013-07-06,1,1,515,paid
2013-07-06,1,1,520,paid
2013-07-07,1,1,525,paid
2013-07-07,1,1,530,paid
2013-07-07,1,1,535,paid
2013-07-07,1,1,540,paid
2013-07-07,1,1,545,paid
2013-07-08,1,1,550,paid
2013-07-08,1,1,555,paid
2013-07-08,1,1,560,paid
2013-07-08,1,1,565,paid
2013-07-08,1,1,570,paid
2013-07-09,1,1,575,paid
2013-07-09,1,1,580,paid
2013-07-09,1,1,585,paid
2013-07-09,1,1,590,paid
2013-07-09,1,1,595,paid
2013-07-10,1,1,600,paid
2013-07-10,1,1,605,paid
2013-07-10,1,1,610,paid
2013-07-10,1,1,615,paid
2013-07-10,1,1,620,paid
2013-07-11,1,1,625,paid
2013-07-11,1,1,630,paid
2013-07-11,1,1,635,paid
2013-07-11,1,1,640,paid
2013-07-11,1,1,645,paid
2013-07-12,1,1,650,paid
2013-07-12,1,1,655,paid
2013-07-12,1,1,660,paid
2013-07-12,1,1,665,paid
2013-07-12,1,1,670,paid
2013-07-13,1,1,675,paid
2013-07-13,1,1,680,paid
2013-07-13,1,1,685,paid
2013-07-13,1,1,690,paid
2013-07-13,1,1,695,paid
2013-07-14,1,1,700,paid
2013-07-14,1,1,705,paid
2013-07-14,1,1,710,paid
2013-07-14,1,1,715,paid
2013-07-14,1,1,720,paid
2013-07-15,1,1,725,paid
2013-07-15,1,1,730,paid
2013-07-15,1,1,735,paid
2013-07-15,1,1,740,paid
2013-07-15,1,1,745,paid
2013-07-16,1,1,750,paid
2013-07-16,1,1,755,paid
2013-07-16,1,1,760,paid
2013-07-16,1,1,765,paid
2013-07-16,1,1,770,paid
2013-07-17,1,1,775,paid
2013-07-17,1,1,780,paid
2013-07-17,1,1,785,paid
2013-07-17,1,1,790,paid
2013-07-17,1,1,795,paid
2013-07-18,1,1,800,paid
2013-07-18,1,1,805,paid
2013-07-18,1,1,810,paid
2013-07-18,1,1,815,paid
2013-07-18,1,1,820,paid
2013-07-19,1,1,825,paid
2013-07-19,1,1,830,paid
2013-07-19,1,1,835,paid
2013-07-19,1,1,840,paid
2013-07-19,1,1,845,paid
2013-07-20,1,1,850,paid
2013-07-20,1,1,855,paid
2013-07-20,1,1,860,paid
2013-07-20,1,1,865,paid
2013-07-20,1,1,870,paid
2013-07-21,1,1,875,paid
2013-07-21,1,1,880,paid
2013-07-21,1,1,885,paid
2013-07-21,1,1,890,paid
2013-07-21,1,1,895,paid
2013-07-22,1,1,900,paid
2013-07-22,1,1,905,paid
2013-07-22,1,1,910,paid
2013-07-22,1,1,915,paid
2013-07-22,1,1,920,paid
2013-07-23,1,1,925,paid
2013-07-23,1,1,930,paid
2013-07-23,1,1,935,paid
2013-07-23,1,1,940,paid
2013-07-23,1,1,945,paid
2013-07-24,1,1,950,paid
2013-07-24,1,1,955,paid
2013-07-24,1,1,960,paid
2013-07-24,1,1,965,paid
2013-07-24,1,1,970,paid
2013-07-25,1,1,975,paid
2013-07-25,1,1,980,paid
2013-07-25,1,1,985,paid
2013-07-25,1,1,990,paid
2013-07-25,1,1,995,paid
2013-07-26,1,1,1000,paid
2013-07-26,1,1,1005,paid
2013-07-26,1,1,1010,paid
2013-07-26,1,1,1015,paid
2013-07-26,1,1,1020,paid
2013-07-27,1,1,1025,paid
